Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2018","2018","g/cap/d","83.24","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2019","2019","g/cap/d","84.76","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2020","2020","g/cap/d","85.13","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","85.41","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2010","2010","t","9128667.68","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2011","2011","t","9055222.46","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2012","2012","t","9121178.83","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2013","2013","t","9205076.41","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2014","2014","t","9263549.56","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2015","2015","t","9464780.58","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2016","2016","t","9678329.47","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2017","2017","t","9844809.15","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2018","2018","t","10091117.45","E","Estimated value"
